archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Kike Boy - Farmatron [1994].flac;LOSSLESS;93;16785;20433;3648;31.2;caída progresiva de 3.6 kHz desde 16.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Kosmos - The Mission [1994].flac;LOSSLESS;96;21072;21141;69;20.6;corte abrupto en 21.1 kHz pero con siseo/señal por encima (caída de solo 21 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Krankenhaus - Emergency (Start Mix) [1994].flac;LOSSLESS;96;20501;21183;682;20.4;corte abrupto en 20.5 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LDC - Die Schwarze Zone [1992].flac;LOSSLESS;93;14936;20550;5614;57.7;caída progresiva de 5.6 kHz desde 14.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LDC - Intro [1992].flac;LOSSLESS;95;16397;20913;4516;60.8;caída progresiva de 4.5 kHz desde 16.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LDC - Plasma [1992].flac;LOSSLESS;94;15816;20697;4881;63.6;caída progresiva de 4.9 kHz desde 15.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LDC - T-Raumreise (Remix) [1992].flac;LOSSLESS;94;18229;20650;2421;26.0;caída progresiva de 2.4 kHz desde 18.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LDC - T-Raumreise [1992].flac;LOSSLESS;97;20033;21398;1365;63.9;caída progresiva de 1.4 kHz desde 20.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\LaCurva - Iberica (Jerez Mix) [1993].flac;LOSSLESS;93;20004;20460;456;26.3;corte abrupto en 20.0 kHz pero con siseo/señal por encima (caída de solo 26 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Lady Chatterley - Hypno [1994].flac;LOSSLESS;97;20665;21346;681;25.1;corte abrupto en 20.7 kHz pero con siseo/señal por encima (caída de solo 25 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Layizon - The Ride Inside (The Beat Inside) [1989].flac;LOSSLESS;99;20721;21779;1058;35.5;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Leroy - Are You Down [1993].flac;LOSSLESS;96;19400;21097;1697;40.5;caída progresiva de 1.7 kHz desde 19.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Leroy - The First Flight [1994].flac;LOSSLESS;98;21120;21583;463;25.4;corte abrupto en 21.1 kHz pero con siseo/señal por encima (caída de solo 25 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Li Kwan - Point Zero [1993].flac;LOSSLESS;95;15388;20881;5493;38.1;caída progresiva de 5.5 kHz desde 15.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Liaisons Dangereuses - Los Niños Del Parque [1981].flac;LOSSLESS;87;16445;19190;2745;25.0;caída progresiva de 2.7 kHz desde 16.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Lunar Module - Mental Acid Trilogy (Part 1) [1993].flac;LOSSLESS;100;22050;22050;0;9.5;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 10 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Lunar Module - Mind In Orbit [1993].flac;LOSSLESS;100;22050;22050;0;10.3;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 10 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Lunar Module - X Mod 7 [1993].flac;LOSSLESS;100;22050;22050;0;11.5;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 11 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Luxor - Superstitious (Nursery mix) [1994].flac;LOSSLESS;98;15595;21541;5946;37.8;caída progresiva de 5.9 kHz desde 15.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Luxor - The Big Bang [1994].flac;LOSSLESS;96;21141;21213;72;20.7;corte abrupto en 21.1 kHz pero con siseo/señal por encima (caída de solo 21 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mandala - The Encore [1993].flac;LOSSLESS;96;20576;21244;668;29.0;corte abrupto en 20.6 kHz pero con siseo/señal por encima (caída de solo 29 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mark N-R-G - Brain Is The Weapon [1995].flac;LOSSLESS;100;22050;22050;0;14.4;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 14 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mark N-R-G - Don't Stop - Original [1995].flac;LOSSLESS;96;20569;21267;698;27.4;corte abrupto en 20.6 kHz pero con siseo/señal por encima (caída de solo 27 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mark N-R-G - High Noon [1993].flac;LOSSLESS;91;19651;20055;404;20.2;corte abrupto en 19.7 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mark N-R-G - Nightflight On Wax [1993].flac;LOSSLESS;91;20128;20132;4;16.4;corte abrupto en 20.1 kHz pero con siseo/señal por encima (caída de solo 16 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Marmion - Schöneberg [1993].flac;LOSSLESS;100;22050;22050;0;14.9;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 15 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Marusha - Go Ahead [1993].flac;LOSSLESS;92;19243;20356;1113;27.4;caída progresiva de 1.1 kHz desde 19.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Marusha - Ravechannel [1994].flac;LOSSLESS;90;18951;19829;878;20.1;corte en 19.0 kHz con transición intermedia (878 Hz) pero sin silencio profundo debajo (caída de 20 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Marusha - Somewhere over the Rainbow [1994].flac;SOSPECHOSO;93;19854;20448;594;32.6;"muro estrecho en 19.9 kHz sin silencio profundo debajo (33 dB) — posible lossy de alta tasa o filtro digital abrupto; revisar espectrograma | auCDtect: CDDA 100%"
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Maurizio Braccagni - Mosquito [1993].flac;LOSSLESS;96;18664;21103;2439;32.1;caída progresiva de 2.4 kHz desde 18.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mega 'Lo Mania - The Finest [1994].flac;LOSSLESS;97;21364;21370;6;17.7;corte abrupto en 21.4 kHz pero con siseo/señal por encima (caída de solo 18 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Megabeat - Running To My Roots [1990].flac;LOSSLESS;80;15618;17645;2027;32.2;caída progresiva de 2.0 kHz desde 15.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Members of Mayday - Procession [1993].flac;LOSSLESS;95;19462;20936;1474;43.4;caída progresiva de 1.5 kHz desde 19.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mental Planet - Anhinilating Rhythm (DJ Fly Mix) [1993].flac;LOSSLESS;98;21547;21547;0;15.3;corte abrupto en 21.5 kHz pero con siseo/señal por encima (caída de solo 15 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Microbots - Cosmic Evolution [1992].flac;LOSSLESS;95;18830;20874;2044;46.3;caída progresiva de 2.0 kHz desde 18.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Microbots - Dimensions [1993].flac;LOSSLESS;94;15936;20793;4857;52.9;caída progresiva de 4.9 kHz desde 15.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mike Dearborn - Razorsharp (303 Mix) [1995].flac;LOSSLESS;95;15290;20963;5673;71.9;caída progresiva de 5.7 kHz desde 15.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Mind-X - Feel The Generation (Rave Chapter Mix) [1994].flac;LOSSLESS;92;19400;20207;807;32.3;corte en 19.4 kHz con transición intermedia (807 Hz) pero sin silencio profundo debajo (caída de 32 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Munion - Poly Boy [1995].flac;LOSSLESS;100;22050;22050;0;3.9;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 4 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nacho Division - Controla [1992].flac;LOSSLESS;78;15633;17111;1478;19.3;caída progresiva de 1.5 kHz desde 15.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nacho Division - Es-telar [1993].flac;LOSSLESS;96;20111;21196;1085;70.8;caída progresiva de 1.1 kHz desde 20.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nacho Division - Meditation (Remix) [1994].flac;LOSSLESS;96;19031;21146;2115;46.0;caída progresiva de 2.1 kHz desde 19.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nacho Division - Night Power [1993].flac;LOSSLESS;96;17405;21068;3663;37.5;caída progresiva de 3.7 kHz desde 17.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nasty Django - Ey Fukkas! (Special Censored Version) [1992].flac;LOSSLESS;95;16956;20903;3947;29.1;caída progresiva de 3.9 kHz desde 17.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nasty Django - Play Da Same Ol' Song (Desperados Go West) [1992].flac;LOSSLESS;94;16347;20742;4395;28.1;caída progresiva de 4.4 kHz desde 16.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nexus 6 - Time Chic [1994].flac;LOSSLESS;95;20159;21032;873;36.9;corte en 20.2 kHz con transición intermedia (873 Hz) pero sin silencio profundo debajo (caída de 37 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nexus 6 - Trés Chic [1994].flac;LOSSLESS;98;20085;21530;1445;52.6;caída progresiva de 1.4 kHz desde 20.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nikolai - Ready to Flow [1994].flac;LOSSLESS;97;19573;21338;1765;31.1;caída progresiva de 1.8 kHz desde 19.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nitzer Ebb - Let Your Body Learn [1987].flac;LOSSLESS;97;20169;21462;1293;54.7;caída progresiva de 1.3 kHz desde 20.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Noise Control - Tehniska Musika [1992].flac;LOSSLESS;94;17956;20637;2681;29.9;caída progresiva de 2.7 kHz desde 18.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nostrum - Baby (Nostrum's mix) [1994].flac;LOSSLESS;100;22050;22050;0;3.4;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 3 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nostrum - Brainchild [1994].flac;LOSSLESS;100;22050;22050;0;2.8;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 3 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Nuclear Hyde - Observer [1994].flac;LOSSLESS;97;21480;21492;12;16.9;corte abrupto en 21.5 kHz pero con siseo/señal por encima (caída de solo 17 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\O - Das Spiel [1990].flac;LOSSLESS;96;18996;21212;2216;60.3;caída progresiva de 2.2 kHz desde 19.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Obsessive - Tune In_Turn Out [1994].flac;LOSSLESS;97;19343;21461;2118;40.0;caída progresiva de 2.1 kHz desde 19.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Odyssee of Noises - Caprioles 1 [1994].flac;LOSSLESS;94;18053;20770;2717;29.7;caída progresiva de 2.7 kHz desde 18.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Odyssee of Noises - Firedance, The Sunrise [1994].flac;LOSSLESS;95;19019;20942;1923;32.1;caída progresiva de 1.9 kHz desde 19.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\PG2 - Hey-Heeey [1995].flac;LOSSLESS;96;19894;21093;1199;65.3;caída progresiva de 1.2 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Pan & Trex - Iceman On The Beach (Remix) [1995].flac;LOSSLESS;100;22050;22050;0;11.6;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 12 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Peter Murphy - All Night Long [1988].flac;LOSSLESS;94;16152;20754;4602;48.3;caída progresiva de 4.6 kHz desde 16.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Phenomania - Amazonas (Radio Edit) [1993].flac;LOSSLESS;96;15523;21134;5611;37.4;caída progresiva de 5.6 kHz desde 15.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Phenomania - Fly Fly [1992].flac;LOSSLESS;96;15608;21139;5531;40.1;caída progresiva de 5.5 kHz desde 15.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Phenomania - Who Is Elvis [1992].flac;LOSSLESS;96;15512;21128;5616;42.4;caída progresiva de 5.6 kHz desde 15.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Phrenetic System - Back to Reality (Remastered Original Mix) [1994].flac;LOSSLESS;98;20835;21706;871;44.2;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Phrenetic System - Wayfarer (Remastered Original Mix) [1994].flac;LOSSLESS;98;20557;21643;1086;34.4;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Plastikman - Spastik [1993].flac;LOSSLESS;96;17540;21107;3567;40.1;caída progresiva de 3.6 kHz desde 17.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Pneumatic Distress - Ada-Mu-Kita (Radio Sequence) [1993].flac;LOSSLESS;90;16595;19818;3223;34.9;caída progresiva de 3.2 kHz desde 16.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Quench - Dreams [1993].flac;LOSSLESS;97;17321;21405;4084;39.4;caída progresiva de 4.1 kHz desde 17.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\R-Damski - Acoustic Nature [1994].flac;LOSSLESS;94;20250;20627;377;26.9;corte abrupto en 20.2 kHz pero con siseo/señal por encima (caída de solo 27 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\R-Damski - Project Part One [1995].flac;LOSSLESS;100;22050;22050;0;15.0;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 15 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Ram-J - Nowhere Bells [1994].flac;LOSSLESS;96;17623;21141;3518;38.4;caída progresiva de 3.5 kHz desde 17.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Ram-J - R.S.V.P. (War Mix Edit) [1994].flac;LOSSLESS;98;20413;21551;1138;57.7;caída progresiva de 1.1 kHz desde 20.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Ramirez - La Musika Tremenda [1993].flac;LOSSLESS;97;19536;21353;1817;62.4;caída progresiva de 1.8 kHz desde 19.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Rave Crusader - Energy Overload (Basic Mix) [1992].flac;LOSSLESS;92;17695;20286;2591;25.2;caída progresiva de 2.6 kHz desde 17.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Resistance D - Skyline (Eternal Basement Remix) [1994].flac;LOSSLESS;98;19909;21585;1676;68.2;caída progresiva de 1.7 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Rexanthony - Objective Two (Cc2 Version) [1994].flac;LOSSLESS;98;19549;21513;1964;32.0;caída progresiva de 2.0 kHz desde 19.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Robert Armani - Ambulance (Remixed By Armando) [1993].flac;LOSSLESS;98;20603;21681;1078;62.9;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Robert Armani - Circus Bells [1993].flac;LOSSLESS;97;17931;21454;3523;63.3;caída progresiva de 3.5 kHz desde 17.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Robotics_Spook - Apology [1993].flac;LOSSLESS;93;19064;20516;1452;42.2;caída progresiva de 1.5 kHz desde 19.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Roland Brant - Nuclear Sun [1993].flac;LOSSLESS;94;17418;20736;3318;32.1;caída progresiva de 3.3 kHz desde 17.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Roses Club - Que Siga La Fiesta [1992].flac;LOSSLESS;97;17921;21448;3527;63.7;caída progresiva de 3.5 kHz desde 17.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Satellite - Made of Stone (Progressive Mix) [1993].flac;LOSSLESS;90;14947;19870;4923;46.4;caída progresiva de 4.9 kHz desde 14.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Scooter - Hyper, Hyper [1994].flac;LOSSLESS;95;16814;21005;4191;48.6;caída progresiva de 4.2 kHz desde 16.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Scooter - Rhapsody in E - Remastered [1995].flac;LOSSLESS;93;17719;20492;2773;49.4;caída progresiva de 2.8 kHz desde 17.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Scot Project - U (I Got A Feeling) - V-Mix [1995].flac;LOSSLESS;95;17835;20973;3138;34.9;caída progresiva de 3.1 kHz desde 17.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Secret Base - Obscurity [1994].flac;LOSSLESS;96;19877;21131;1254;21.0;caída progresiva de 1.3 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Secret Base - Warpmission [1994].flac;LOSSLESS;95;17418;20932;3514;27.5;caída progresiva de 3.5 kHz desde 17.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sevenebb - It's My Beat [1992].flac;LOSSLESS;100;22050;22050;0;9.6;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 10 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sevenebb - To Make Time [1992].flac;LOSSLESS;95;20389;20862;473;29.7;corte abrupto en 20.4 kHz pero con siseo/señal por encima (caída de solo 30 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Signal Response II - The Signal [1995].flac;LOSSLESS;99;20945;21742;797;68.9;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sound To Light - Land Slip [1993].flac;LOSSLESS;100;22050;22050;0;13.7;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 14 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sound To Light - Nasty News [1993].flac;LOSSLESS;92;19882;20346;464;18.0;corte abrupto en 19.9 kHz pero con siseo/señal por encima (caída de solo 18 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Speedy J - Pull Over [1991].flac;LOSSLESS;96;19463;21185;1722;36.7;caída progresiva de 1.7 kHz desde 19.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\State Of House - Pacific Dance [1994].flac;LOSSLESS;96;19718;21189;1471;36.3;caída progresiva de 1.5 kHz desde 19.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sunbeam - High Adventure (Scrounger Mix) [1994].flac;LOSSLESS;94;19083;20824;1741;34.7;caída progresiva de 1.7 kHz desde 19.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sunbeam - Outside World [1994].flac;LOSSLESS;96;20190;21142;952;40.9;corte en 20.2 kHz con transición intermedia (952 Hz) pero sin silencio profundo debajo (caída de 41 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Sven Väth - L'Esperanza (Hope Will Move Mountains Mix) [1993].flac;LOSSLESS;98;20351;21682;1331;69.6;caída progresiva de 1.3 kHz desde 20.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\System D - Black Magic [1994].flac;LOSSLESS;98;20685;21706;1021;48.5;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\System D - Deviant Behaviour [1994].flac;LOSSLESS;98;20559;21620;1061;49.0;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\System D - Shipment In Trance [1994].flac;LOSSLESS;98;20722;21543;821;41.1;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\System D - Trancefusion [1994].flac;LOSSLESS;98;20756;21528;772;47.5;espectro completo hasta cerca de Nyquist
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\T. Vee - U Are A Sucker (Crazy Mix) [1992].flac;LOSSLESS;98;19057;21513;2456;29.5;caída progresiva de 2.5 kHz desde 19.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tandú - Acido [1994].flac;LOSSLESS;94;18268;20766;2498;28.7;caída progresiva de 2.5 kHz desde 18.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tandú - Spaceido [1994].flac;LOSSLESS;93;16806;20407;3601;31.9;caída progresiva de 3.6 kHz desde 16.8 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tandú - Tranceido [1994].flac;LOSSLESS;94;18285;20733;2448;22.3;caída progresiva de 2.4 kHz desde 18.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Technobert 96 - Neue Dimensionen [1990].flac;LOSSLESS;82;17129;17994;865;19.6;corte en 17.1 kHz con transición intermedia (865 Hz) pero sin silencio profundo debajo (caída de 20 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Technohead - The Passion 1 [1995].flac;LOSSLESS;94;19336;20704;1368;25.2;caída progresiva de 1.4 kHz desde 19.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tesox - Funky Bassline [1995].flac;LOSSLESS;98;20025;21631;1606;44.3;caída progresiva de 1.6 kHz desde 20.0 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tesox - Go ahead London [1995].flac;LOSSLESS;100;22050;22050;0;6.2;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 6 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Tesox - Prophetic Steps [1995].flac;LOSSLESS;96;20191;21247;1056;27.0;caída progresiva de 1.1 kHz desde 20.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\The King Of House - Bonus King [1993].flac;LOSSLESS;100;22050;22050;0;13.4;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 13 dB) — filtro digital de la época, no códec
