archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Coloured Vision - Living in paradise (The eagle has landed Mix) [1994].flac;LOSSLESS;86;15326;18900;3574;34.5;caída progresiva de 3.6 kHz desde 15.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Commander Tom - Are Am Eye (Yves De Ruyter Single Mix) [1995].flac;LOSSLESS;98;20998;21545;547;24.9;corte abrupto en 21.0 kHz pero con siseo/señal por encima (caída de solo 25 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Commander Tom - Are Am Eye [1995].flac;LOSSLESS;97;20518;21447;929;28.8;corte en 20.5 kHz con transición intermedia (929 Hz) pero sin silencio profundo debajo (caída de 29 dB) — perfil de conversor, no de códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Committe - Trance Line [1994].flac;LOSSLESS;100;22050;22050;0;11.9;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 12 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Control - Representative (Original Version) [1994].flac;LOSSLESS;100;22050;22050;0;12.3;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 12 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Control D.C. - Ritmo Dell' Diavolo (Inferno Mute Mix) [1994].flac;LOSSLESS;97;17548;21384;3836;61.0;caída progresiva de 3.8 kHz desde 17.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Cosmic Baby - Loops of Infinity (Contemplative) [1994].flac;LOSSLESS;96;20704;21210;506;26.5;corte abrupto en 20.7 kHz pero con siseo/señal por encima (caída de solo 27 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Cybordelics - Adventures of Dama [1993].flac;LOSSLESS;95;15649;21005;5356;41.0;caída progresiva de 5.4 kHz desde 15.6 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Cygnus X - The Orange Theme (Original Version) [1994].flac;LOSSLESS;94;16403;20667;4264;32.9;caída progresiva de 4.3 kHz desde 16.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\DJ Hooligan - The Culture - Original Mix [1994].flac;LOSSLESS;96;20135;21150;1015;52.1;caída progresiva de 1.0 kHz desde 20.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\DJ Hooligan - The Mystic Culture [1994].flac;LOSSLESS;97;19423;21485;2062;64.0;caída progresiva de 2.1 kHz desde 19.4 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\DJ Rope & DJ Marco Bailey - Be Free (Wavesong Mix) [1994].flac;LOSSLESS;96;21247;21252;5;17.0;corte abrupto en 21.2 kHz pero con siseo/señal por encima (caída de solo 17 dB) — filtro digital de la época, no códec
